date,yoy,ann_3m
2010-11-01,0.8706059824100221,0.9064886539940753
2010-12-01,0.8483838180317615,0.8810950009818574
2011-01-01,0.9627761503670396,1.3461279600685216
2011-02-01,1.1166747081594597,1.6812439846711547
2011-03-01,1.1792235042674681,2.1316987196529746
2011-04-01,1.3313792716392436,2.2725737843502847
2011-05-01,1.4480843232025808,2.362922827186642
2011-06-01,1.5286347839283732,2.4303131640368347
2011-07-01,1.6380805872860726,2.203735061248069
2011-08-01,1.7871880558983255,2.20445921541943
2011-09-01,1.8464818068219424,1.9495426008371952
2011-10-01,1.9507418941376864,1.9831561483943938
2011-11-01,1.9936170770877837,1.7275538649564437
2011-12-01,2.173869234461745,2.1844996151387797
2012-01-01,2.206508592623835,2.366960973812904
2012-02-01,2.1652179492689605,2.3672741530598396
2012-03-01,2.1556536574116603,2.058885958625245
2012-04-01,2.09605291534507,1.831181656373837
2012-05-01,1.9995234189444933,1.7004758752553029
2012-06-01,1.9676971520104614,1.678543713416203
2012-07-01,1.906590998991775,1.4471972289850532
2012-08-01,1.7625817090498819,1.258092100793351
2012-09-01,1.7927069147124497,1.2515057334306245
2012-10-01,1.7707253163360415,1.440371797123552
2012-11-01,1.6618694837118753,1.3254410648710468
2012-12-01,1.5289978513008728,1.1297111125991188
2013-01-01,1.5324511200960123,1.411641923929574
2013-02-01,1.4784618906463542,1.6305499945381996
2013-03-01,1.3999798185921453,1.5411084003155384
2013-04-01,1.1836416926464421,0.43903340629352083
2013-05-01,1.1609422877530973,0.43358037407876804
2013-06-01,1.2246331794879994,0.9770525349073411
2013-07-01,1.2724655851991118,1.8038875829799572
2013-08-01,1.2484057493296064,1.6087363504222463
2013-09-01,1.2175291860832438,1.2230852081207333
2013-10-01,1.1775590072130582,1.0606502739620716
2013-11-01,1.2518307720559063,1.3391522752663532
2013-12-01,1.280588625738699,1.381965638332705
2014-01-01,1.1170882291051676,1.1694164587570333
2014-02-01,1.0599931059404488,0.8625153502273664
2014-03-01,1.1403238690823603,0.979773631341474
2014-04-01,1.3389385396180842,1.3233891465798564
2014-05-01,1.3599461519263834,1.631274703005059
2014-06-01,1.2541625592858319,1.4324403374521344
2014-07-01,1.2660948221396184,1.5114913240696026
2014-08-01,1.2501133415323773,1.1690420801111934
2014-09-01,1.2787952545038728,1.321621697551123
2014-10-01,1.2064460904272378,0.8227496977722515
2014-11-01,1.1427111118033295,0.9098492464105101
2014-12-01,1.1104888740304908,0.709732328251067
2015-01-01,1.0240276510497415,0.4419793740108924
2015-02-01,1.0891023063644534,0.6488441323107441
2015-03-01,1.0838759183241287,0.8735013955612825
2015-04-01,1.1482046237710763,1.822488200933603
2015-05-01,1.076134618722624,1.5791357870436284
2015-06-01,1.0574470088374532,1.326401759099416
2015-07-01,1.0521216723444082,1.1263283886104203
2015-08-01,1.040017207261057,1.0245171276846543
2015-09-01,1.0962974835256212,1.477519704280561
2015-10-01,1.1026279191212351,1.0244672867209426
2015-11-01,1.1315648413387835,1.2760653676370914
2015-12-01,1.0982142458838329,0.7173702781583025
2016-01-01,1.2622514847151933,1.0778052462252052
2016-02-01,1.3402027433022656,1.4819860351683145
2016-03-01,1.3176251339004574,1.7520490608544215
2016-04-01,1.2801325528143614,1.8944272355851721
2016-05-01,1.412807918057224,1.8705542133774289
2016-06-01,1.4466962404753092,1.8437183939828516
2016-07-01,1.446314207634991,1.791680893278902
2016-08-01,1.5457447931961132,1.5552711341584757
2016-09-01,1.453867515548124,1.5062165629200042
2016-10-01,1.5417873356628808,1.4053089699783472
2016-11-01,1.5067808567713836,1.1207129783601388
2016-12-01,1.5973632374677749,1.2883964341794174
2017-01-01,1.677867881087547,1.620730396189174
2017-02-01,1.635791781411089,1.998888079615324
2017-03-01,1.4277939720905852,1.0744380901070105
2017-04-01,1.400089374950375,0.785501345909756
2017-05-01,1.2079911769285578,0.16619786106042422
2017-06-01,1.2212170981056758,1.0165537722087725
2017-07-01,1.0712253512326297,0.4775550388144145
2017-08-01,1.0543610746721166,0.9400447018977687
2017-09-01,1.0952085330652617,1.0017062013190747
2017-10-01,1.2437563759976067,2.0994891715302666
2017-11-01,1.2069081061230058,1.7326857184761124
2017-12-01,1.177860628467764,1.6200430298471735
2018-01-01,1.174400391095931,1.3425594883891279
2018-02-01,1.2550438239025574,2.193076150833728
2018-03-01,1.6069819056486079,2.8001084289755562
2018-04-01,1.6748870127675675,2.7945991725509822
2018-05-01,1.870595470005254,2.6242282639313164
2018-06-01,1.7886685515415834,1.7410175650610649
2018-07-01,1.9221242196727495,1.4584283846881263
2018-08-01,1.7739120901244299,0.5573890396545211
2018-09-01,1.7722413640704593,0.9365212497823183
2018-10-01,1.649931493630552,1.013184903208808
2018-11-01,1.8403172499434906,1.998458735552111
2018-12-01,1.8799868489820737,2.0510643194981526
2019-01-01,1.8970540437258432,2.3316602898945327
2019-02-01,1.7275397435186912,1.7411549271061588
2019-03-01,1.5420388979601851,1.4428798467173376
2019-04-01,1.6072163594497146,1.6300170956772941
2019-05-01,1.504869095542305,1.7286405404145277
2019-06-01,1.6037090535090615,1.9884068336990968
2019-07-01,1.6236585641573154,1.5241168378357095
2019-08-01,1.769541433277011,1.6103054913344517
2019-09-01,1.7138319345165742,1.3748322054524476
2019-10-01,1.747968136889555,1.508343801841261
2019-11-01,1.6291909107878144,1.4369567330359212
2019-12-01,1.6503826966120627,1.7966640703054981
2020-01-01,1.6412157708159958,1.9028766230519523
2020-02-01,1.7648018046860559,2.2852840018025455
2020-03-01,1.6618691591065105,1.4887396781466888
2020-04-01,1.2662667342407286,0.13866389388992317
2020-05-01,1.2746003746713752,-0.21735107223854744
2020-06-01,1.3101472580712814,0.5843080438405979
2020-07-01,1.3881293574614872,2.0136913422692526
2020-08-01,1.569876066747744,2.8005160086266745
2020-09-01,1.6747778274436964,2.8421838407741706
2020-10-01,1.5378530116608946,2.109278015602012
2020-11-01,1.4443823384124421,0.9365670619805755
2020-12-01,1.437824165727175,0.851025349354062
2021-01-01,1.4657585825077035,1.6137702940608234
2021-02-01,1.5119247443245554,2.5579653179191864
2021-03-01,1.900702675605137,3.353901213887589
2021-04-01,2.5489935786361384,4.483900327889012
2021-05-01,2.8515306612746594,5.154973126958851
2021-06-01,3.084937958803402,5.342197323192499
2021-07-01,3.2852539746008658,4.9750619527085815
2021-08-01,3.249524919868252,4.40096315465579
2021-09-01,3.268681117387895,3.5773884670990075
2021-10-01,3.7090545188712465,3.795522205038715
2021-11-01,4.216164255526844,4.769921946538291
2021-12-01,4.582806420517982,6.083285733333876
2022-01-01,4.8695689325204405,6.2389567392201695
2022-02-01,5.1408079888295655,6.246418289203426
2022-03-01,5.222697048171665,5.906697322135468
2022-04-01,5.031312944071242,5.12998986340758
2022-05-01,5.0055581687533435,4.61494409251888
2022-06-01,5.211616420806786,5.2978314857675235
2022-07-01,5.072084526274145,5.138155873562433
2022-08-01,5.313193577088571,5.629806706033658
2022-09-01,5.511075433008106,4.7616629467543525
2022-10-01,5.446357198778395,5.282344827198893
2022-11-01,5.179659425398531,4.239550562479488
2022-12-01,5.050796711583594,4.244263661066916
2023-01-01,4.991828575277113,4.4189860717913865
2023-02-01,4.892879220113899,5.092393617392532
2023-03-01,4.84536423340467,5.080699248625886
2023-04-01,4.841996548265692,4.531156487709298
2023-05-01,4.793354730239319,4.2184657014298965
2023-06-01,4.311107273964843,3.1679303641347634
2023-07-01,4.24948236774827,2.7814766790556167
2023-08-01,3.882282576423801,2.004057070132248
2023-09-01,3.742157034931326,2.4946640937977493
2023-10-01,3.592403848203163,2.652980539057115
2023-11-01,3.506181974796596,2.738152521501802
2023-12-01,3.260754570611124,2.322760533750823
2024-01-01,3.1674465794093276,2.7161079839856495
2024-02-01,2.9293280922264797,2.769129649123858
2024-03-01,2.8906694672375943,3.5823474188457105
2024-04-01,2.704623810289153,2.6679789481626637
2024-05-01,2.5157074137839963,2.5533320990114072
2024-06-01,2.572005210180617,1.8957638466468252
2024-07-01,2.4938576580423977,1.9403747568174756
2024-08-01,2.5448876005473187,2.120244866231391
2024-09-01,2.562036628829789,2.4548256424357318
2024-10-01,2.5664287278053033,2.944024417110591
2024-11-01,2.5505260105366245,2.7607505317251535
2024-12-01,2.5665325891900848,2.340703598887761
2025-01-01,2.4745460896812954,2.348535375312566
2025-02-01,2.6260920608991656,3.0723731466292925
2025-03-01,2.357387721089843,2.740063149747818
2025-04-01,2.4535359283798464,2.5838055575610808
2025-05-01,2.506536901702483,2.076284931742367
2025-06-01,2.61942952425267,2.943217664739839
2025-07-01,2.6859740448668568,2.8686232870212436
2025-08-01,2.7508444150218914,3.0972782338262395
2025-09-01,2.713298489528415,2.8302139071191723
2025-10-01,2.641384297444782,2.7653336429359188
2025-11-01,2.643417831361927,2.3316762553970305
2025-12-01,2.7352224997479135,2.4281095003523046
2026-01-01,2.809238193123309,3.0196794085336487
2026-02-01,2.8279213563095817,3.81547207168782
2026-03-01,2.9786134594186553,3.7171382099077555
2026-04-01,2.95698251696741,3.174759341486788
2026-05-01,3.0125024461423067,2.811188219243266
