Symbol,dbsym,sector,cik,px_12m,px_ytd,px_q1,eps_ttm,eps_q
GOOG,GOOG,Communication Services,1652044,100.48617785064167,13.007456503728253,-8.597285067873306,46.3169642857143,81.85053380782918
MO,MO,Consumer Staples,764180,25.03009458297507,26.048890429958394,14.511095700416089,-19.630872483221477,106.34920634920636
AMZN,AMZN,Consumer Discretionary,1018724,10.11113631208891,5.164197209947141,-9.700199289489642,36.15635179153092,74.84276729559747
AMCR,AMCR,Materials,1748790,,,,-95.13283309673494,-11.764705882352951
AEE,AEE,Utilities,1002910,19.345299854741647,15.186260765071102,10.094131784498295,23.281596452328156,19.62616822429906
AEP,AEP,Utilities,4904,32.75531711055757,20.161290322580648,13.653312521678806,30.50193050193051,6.666666666666672
AXP,AXP,Financials,4962,9.111910446835548,-4.875510259252258,-18.19631802330296,11.871508379888262,17.582417582417587
AIG,AIG,Financials,5272,-7.512229210342425,-7.187938288920059,-12.073398784478728,,21.551724137931036
AMT,AMT,Real Estate,1053507,-26.07833967978267,-5.459516418420529,-1.705920884003076,58.974358974358964,76.92307692307693
AWK,AWK,Utilities,1410636,-4.015148858575579,4.873563218390808,4.283524904214553,2.732240437158493,-4.761904761904765
AMP,AMP,Financials,820027,-9.183256574060328,-0.31290450806723547,-9.41873146270117,36.403806934058494,66.0377358490566
AME,AME,Industrials,1037868,28.175708900180286,14.277363729358461,4.415704612986504,8.346972176759436,14.473684210526313
AMGN,AMGN,Health Care,318154,28.706635462555074,14.241637391171524,7.490453642889872,30.99361896080221,4.37499999999999
APH,APH,Information Technology,820313,67.99137399876773,21.04776351326352,-6.478227089422484,68.93203883495143,24.13793103448276
ADI,ADI,Information Technology,6281,56.91361104182258,39.189438359700546,17.310174429324764,52.75590551181105,110.5263157894737
AON,AON,Financials,315293,0.11485880770956136,1.2795624264924754,-8.507743974153703,57.476231633534994,27.0880361173815
APA,APA,Energy,1841666,70.9081309398099,32.284429914180635,73.55946056395585,53.76344086021505,31.250000000000007
APO,APO,Financials,1858681,-16.272502647370292,-18.093922651933713,-23.066298342541437,-72.25130890052357,-580.8823529411765
AAPL,AAPL,Information Technology,320193,47.23337155963303,13.204011903449796,-6.793048973143767,26.129032258064534,21.818181818181813
AMAT,AMAT,Information Technology,6951,229.8530212302668,135.7559722978757,32.97408761964049,3.921568627450974,33.460076045627375
APP,APP,Information Technology,1751008,144.5111632325871,-1.9641395729484312,-25.98392976713042,110.4882459312839,113.1736526946108
APTV,APTV,Consumer Discretionary,1521332,-17.815771109560373,-22.61138125903536,-8.752792745433036,-72.54901960784312,
ACGL,ACGL,Financials,947484,11.741554608068206,6.551993745113371,0.057336460776657994,33.33333333333333,94.5945945945946
ADM,ADM,Consumer Staples,7084,41.061426866219804,33.579688722719744,26.415094339622613,-21.12676056338027,1.6393442622950833
ARES,ARES,Financials,1176948,-33.14834944790892,-27.709725315515954,-32.516703786191535,,
ANET,ANET,Information Technology,1596532,61.7858226312064,22.092490842490854,-6.272893772893773,22.78481012658228,25.000000000000007
AJG,AJG,Financials,354190,-21.12460103886351,-2.6004636785162405,-16.3176197836167,-4.62962962962964,16.176470588235293
AIZ,AIZ,Financials,1267238,41.357681218068684,15.97841875907864,-9.566300062253575,52.184087363494505,91.16607773851591
T,T,Communication Services,732717,-28.675450762829403,-17.223340040241453,16.559356136820913,82.20858895705524,-11.475409836065566
ATO,ATO,Utilities,731802,15.01333506797633,5.526708445240214,10.229782154580725,12.696148359486456,14.521452145214536
ADSK,ADSK,Information Technology,769397,-33.419988445984984,-29.934477168332883,-19.153607133207238,46.995708154506424,231.42857142857142
ADP,ADP,Industrials,8670,-21.89263259713041,-5.8309037900874605,-21.024295432458707,10.991379310344843,10.457516339869276
AZO,AZO,Consumer Discretionary,866787,-15.002207018318249,-6.85253734865131,-0.48903505537776226,-0.43179058156794947,7.664027149321269
AVB,AVB,Real Estate,915912,-4.62862764387606,6.979695431472077,-9.865371882586626,0.37313432835822313,40.361445783132545
AVY,AVY,Materials,8818,-7.840485718228241,-8.20275990983561,-5.0195172906701835,2.1864211737629193,4.306220095693795
AXON,AXON,Industrials,1069183,2.690966624103064,5.134073982780785,-25.284786168283535,-40.240963855421704,89.81481481481478
BKR,BKR,Energy,1701605,36.395348837209276,15.909090909090896,34.014053579270985,,
BALL,BALL,Materials,9389,9.51187904967603,19.63004907512269,11.532653831634597,70.29702970297026,22.222222222222225
BAC,BAC,Financials,70858,21.839319078264463,6.718792617510694,-11.355577779798153,21.38554216867471,24.719101123595514
BAX,BAX,Health Care,10456,-3.3098441170190007,18.472004186289915,-12.061747776033494,,-112.00000000000001
BDX,BDX,Health Care,10795,11.22446107952948,1.8148796949868595,1.2449121541552755,-28.346456692913392,-203.73831775700936
BRK.B,BRK-B,Financials,1067983,,,,,
BBY,BBY,Consumer Discretionary,764478,10.317011038777245,16.45626353925451,-4.071113767087486,31.70731707317072,37.894736842105274
TECH,TECH,Health Care,842023,36.044948136765264,20.430198945757528,-11.103553817377998,-27.27272727272727,128.57142857142856
BIIB,BIIB,Health Care,875045,66.25384615384615,22.76625958534506,4.067026412950869,-8.102766798418992,31.097560975609756
BLK,BLK,Financials,2012383,-5.6072238619001125,-7.088978875048468,-10.148196929572606,-3.49769249453485,45.850622406639005
BX,BX,Financials,1393818,-19.65442764578833,-20.376195881303715,-25.428895735365664,17.824773413897304,3.7499999999999893
XYZ,XYZ,Financials,1512673,15.438699282261625,21.078506683054222,-7.543401444154252,-68.93203883495144,-273.33333333333337
BNY,BNY,Financials,1390777,,,,31.484502446982066,41.77215189873419
BA,BA,Industrials,12927,7.852716873212584,4.23576561636263,-8.23659480375899,,
BKNG,BKNG,Consumer Discretionary,1075531,,,,10.489649681528663,240.0
BSX,BSX,Health Care,885725,-46.16945107398569,-40.8781127129751,-17.771952817824378,74.45255474452557,100.0
BMY,BMY,Health Care,14272,23.051673019906826,7.701575532900828,12.418906394810003,33.2089552238806,9.166666666666675
