Symbol,dbsym,sector,cik
IP,IP,Materials,51434
INTU,INTU,Information Technology,896878
ISRG,ISRG,Health Care,1035267
IVZ,IVZ,Financials,914208
INVH,INVH,Real Estate,1687229
IQV,IQV,Health Care,1478242
IRM,IRM,Real Estate,1020569
JBHT,JBHT,Industrials,728535
JBL,JBL,Information Technology,898293
JKHY,JKHY,Financials,779152
J,J,Industrials,52988
JNJ,JNJ,Health Care,200406
JCI,JCI,Industrials,833444
JPM,JPM,Financials,19617
KVUE,KVUE,Consumer Staples,1944048
KDP,KDP,Consumer Staples,1418135
KEY,KEY,Financials,91576
KEYS,KEYS,Information Technology,1601046
KMB,KMB,Consumer Staples,55785
KIM,KIM,Real Estate,879101
KMI,KMI,Energy,1506307
KKR,KKR,Financials,1404912
KLAC,KLAC,Information Technology,319201
KHC,KHC,Consumer Staples,1637459
KR,KR,Consumer Staples,56873
LHX,LHX,Industrials,202058
LH,LH,Health Care,920148
LRCX,LRCX,Information Technology,707549
LVS,LVS,Consumer Discretionary,1300514
LDOS,LDOS,Industrials,1336920
LEN,LEN,Consumer Discretionary,920760
LII,LII,Industrials,1069202
LLY,LLY,Health Care,59478
LIN,LIN,Materials,1707925
LYV,LYV,Communication Services,1335258
LMT,LMT,Industrials,936468
L,L,Financials,60086
LOW,LOW,Consumer Discretionary,60667
LULU,LULU,Consumer Discretionary,1397187
LITE,LITE,Information Technology,1633978
LYB,LYB,Materials,1489393
MTB,MTB,Financials,36270
MPC,MPC,Energy,1510295
MAR,MAR,Consumer Discretionary,1048286
MRSH,MRSH,Financials,62709
MLM,MLM,Materials,916076
MRVL,MRVL,Information Technology,1835632
MAS,MAS,Industrials,62996
MA,MA,Financials,1141391
MKC,MKC,Consumer Staples,63754
MCD,MCD,Consumer Discretionary,63908
MCK,MCK,Health Care,927653
MDT,MDT,Health Care,1613103
MRK,MRK,Health Care,310158
META,META,Communication Services,1326801
MET,MET,Financials,1099219
MTD,MTD,Health Care,1037646
MGM,MGM,Consumer Discretionary,789570
MCHP,MCHP,Information Technology,827054
MU,MU,Information Technology,723125
MSFT,MSFT,Information Technology,789019
MAA,MAA,Real Estate,912595
MRNA,MRNA,Health Care,1682852
TAP,TAP,Consumer Staples,24545
MDLZ,MDLZ,Consumer Staples,1103982
MPWR,MPWR,Information Technology,1280452
MNST,MNST,Consumer Staples,865752
MCO,MCO,Financials,1059556
MS,MS,Financials,895421
MOS,MOS,Materials,1285785
MSI,MSI,Information Technology,68505
MSCI,MSCI,Financials,1408198
NDAQ,NDAQ,Financials,1120193
NTAP,NTAP,Information Technology,1002047
NFLX,NFLX,Communication Services,1065280
NEM,NEM,Materials,1164727
NWSA,NWSA,Communication Services,1564708
NWS,NWS,Communication Services,1564708
NEE,NEE,Utilities,753308
NKE,NKE,Consumer Discretionary,320187
NI,NI,Utilities,1111711
NDSN,NDSN,Industrials,72331
NSC,NSC,Industrials,702165
NTRS,NTRS,Financials,73124
NOC,NOC,Industrials,1133421
NCLH,NCLH,Consumer Discretionary,1513761
NRG,NRG,Utilities,1013871
NUE,NUE,Materials,73309
NVDA,NVDA,Information Technology,1045810
NVR,NVR,Consumer Discretionary,906163
NXPI,NXPI,Information Technology,1413447
ORLY,ORLY,Consumer Discretionary,898173
OXY,OXY,Energy,797468
ODFL,ODFL,Industrials,878927
OMC,OMC,Communication Services,29989
ON,ON,Information Technology,1097864
OKE,OKE,Energy,1039684
ORCL,ORCL,Information Technology,1341439
OTIS,OTIS,Industrials,1781335
PCAR,PCAR,Industrials,75362
PKG,PKG,Materials,75677
PLTR,PLTR,Information Technology,1321655
PANW,PANW,Information Technology,1327567
PSKY,PSKY,Communication Services,2041610
PH,PH,Industrials,76334
PAYX,PAYX,Industrials,723531
PYPL,PYPL,Financials,1633917
PNR,PNR,Industrials,77360
PEP,PEP,Consumer Staples,77476
PFE,PFE,Health Care,78003
PCG,PCG,Utilities,1004980
PM,PM,Consumer Staples,1413329
PSX,PSX,Energy,1534701
PNW,PNW,Utilities,764622
PNC,PNC,Financials,713676
PPG,PPG,Materials,79879
PPL,PPL,Utilities,922224
PFG,PFG,Financials,1126328
PG,PG,Consumer Staples,80424
PGR,PGR,Financials,80661
PLD,PLD,Real Estate,1045609
PRU,PRU,Financials,1137774
PEG,PEG,Utilities,788784
PTC,PTC,Information Technology,857005
PSA,PSA,Real Estate,1393311
PHM,PHM,Consumer Discretionary,822416
PWR,PWR,Industrials,1050915
QCOM,QCOM,Information Technology,804328
DGX,DGX,Health Care,1022079
Q,Q,Information Technology,2058873
RL,RL,Consumer Discretionary,1037038
RJF,RJF,Financials,720005
RTX,RTX,Industrials,101829
O,O,Real Estate,726728
REG,REG,Real Estate,910606
REGN,REGN,Health Care,872589
RF,RF,Financials,1281761
RSG,RSG,Industrials,1060391
RMD,RMD,Health Care,943819
RVTY,RVTY,Health Care,31791
HOOD,HOOD,Financials,1783879
ROK,ROK,Industrials,1024478
ROL,ROL,Industrials,84839
ROP,ROP,Information Technology,882835
ROST,ROST,Consumer Discretionary,745732
RCL,RCL,Consumer Discretionary,884887
SPGI,SPGI,Financials,64040
CRM,CRM,Information Technology,1108524
SNDK,SNDK,Information Technology,2023554
SBAC,SBAC,Real Estate,1034054
SLB,SLB,Energy,87347
STX,STX,Information Technology,1137789
SRE,SRE,Utilities,1032208
NOW,NOW,Information Technology,1373715
SHW,SHW,Materials,89800
SPG,SPG,Real Estate,1063761
SWKS,SWKS,Information Technology,4127
SJM,SJM,Consumer Staples,91419
SW,SW,Materials,2005951
SNA,SNA,Industrials,91440
SOLV,SOLV,Health Care,1964738
SO,SO,Utilities,92122
LUV,LUV,Industrials,92380
SWK,SWK,Industrials,93556
SBUX,SBUX,Consumer Discretionary,829224
STT,STT,Financials,93751
STLD,STLD,Materials,1022671
STE,STE,Health Care,1757898
SYK,SYK,Health Care,310764
SMCI,SMCI,Information Technology,1375365
SYF,SYF,Financials,1601712
SNPS,SNPS,Information Technology,883241
SYY,SYY,Consumer Staples,96021
TMUS,TMUS,Communication Services,1283699
TROW,TROW,Financials,1113169
TTWO,TTWO,Communication Services,946581
TPR,TPR,Consumer Discretionary,1116132
TRGP,TRGP,Energy,1389170
TGT,TGT,Consumer Staples,27419
TEL,TEL,Information Technology,1385157
TDY,TDY,Information Technology,1094285
TER,TER,Information Technology,97210
TSLA,TSLA,Consumer Discretionary,1318605
TXN,TXN,Information Technology,97476
TPL,TPL,Energy,1811074
TXT,TXT,Industrials,217346
TMO,TMO,Health Care,97745
TJX,TJX,Consumer Discretionary,109198
TKO,TKO,Communication Services,1973266
TTD,TTD,Communication Services,1671933
TSCO,TSCO,Consumer Discretionary,916365
TT,TT,Industrials,1466258
TDG,TDG,Industrials,1260221
TRV,TRV,Financials,86312
TRMB,TRMB,Information Technology,864749
TFC,TFC,Financials,92230
TYL,TYL,Information Technology,860731
TSN,TSN,Consumer Staples,100493
USB,USB,Financials,36104
UBER,UBER,Industrials,1543151
UDR,UDR,Real Estate,74208
ULTA,ULTA,Consumer Discretionary,1403568
UNP,UNP,Industrials,100885
UAL,UAL,Industrials,100517
UPS,UPS,Industrials,1090727
URI,URI,Industrials,1067701
UNH,UNH,Health Care,731766
UHS,UHS,Health Care,352915
VLO,VLO,Energy,1035002
VEEV,VEEV,Health Care,1393052
VTR,VTR,Real Estate,740260
VLTO,VLTO,Industrials,1967680
VRSN,VRSN,Information Technology,1014473
VRSK,VRSK,Industrials,1442145
VZ,VZ,Communication Services,732712
VRTX,VRTX,Health Care,875320
VRT,VRT,Industrials,1674101
VTRS,VTRS,Health Care,1792044
VICI,VICI,Real Estate,1705696
V,V,Financials,1403161
VST,VST,Utilities,1692819
VMC,VMC,Materials,1396009
WRB,WRB,Financials,11544
GWW,GWW,Industrials,277135
WAB,WAB,Industrials,943452
WMT,WMT,Consumer Staples,104169
DIS,DIS,Communication Services,1744489
WBD,WBD,Communication Services,1437107
WM,WM,Industrials,823768
WAT,WAT,Health Care,1000697
WEC,WEC,Utilities,783325
WFC,WFC,Financials,72971
WELL,WELL,Real Estate,766704
WST,WST,Health Care,105770
WDC,WDC,Information Technology,106040
WY,WY,Real Estate,106535
WSM,WSM,Consumer Discretionary,719955
WMB,WMB,Energy,107263
WTW,WTW,Financials,1140536
WDAY,WDAY,Information Technology,1327811
WYNN,WYNN,Consumer Discretionary,1174922
XEL,XEL,Utilities,72903
XYL,XYL,Industrials,1524472
YUM,YUM,Consumer Discretionary,1041061
ZBRA,ZBRA,Information Technology,877212
ZBH,ZBH,Health Care,1136869
ZTS,ZTS,Health Care,1555280
