date,Core PCE,Market-based core PCE,Core PCE less info proc equip,Mkt-based core PCE less info proc equip
1998-04-01,1.2318435754190116,1.0121155385512948,1.5032676632304787,1.3196356896064687
1998-05-01,1.256071009881099,1.0564287554753804,1.520507736511978,1.3563046276335644
1998-06-01,0.9796817079628761,0.7555651844228795,1.2387731998401819,1.0491412196033334
1998-07-01,1.1948695809600896,1.0233779594709835,1.4715155215717868,1.3377316343504697
1998-08-01,1.4335868929198359,1.2812004821430856,1.7209770397107471,1.6082589192367047
1998-09-01,1.2067790954717994,1.0515502932987308,1.5026467448896241,1.3883554042915636
1998-10-01,1.2507635071353107,1.2009456264775453,1.541231468118509,1.5329055768165123
1998-11-01,1.2378916983540877,1.2117364169345946,1.5309216805169834,1.546980822640509
1998-12-01,1.3536754507628368,1.3051341575338826,1.6483649719967852,1.6420478803884198
1999-01-01,1.3433042514887417,1.3302424626332465,1.6392898280954027,1.669100555672709
1999-02-01,1.2217733008633935,1.2090042544025126,1.495180341403568,1.5220523929113439
1999-03-01,1.1444525840025532,1.1525943459665955,1.4201339118122602,1.4684786309720588
1999-04-01,1.2182334924532912,1.2638845983372171,1.490778899719758,1.5766059506979735
1999-05-01,1.2170581100451994,1.2480206124694693,1.4728457612927182,1.5413855771153617
1999-06-01,1.397993403348008,1.4299153339605075,1.6489604370922617,1.7177616345875224
1999-07-01,1.2949838299043392,1.250184244730601,1.5250967385488368,1.5132473531711765
1999-08-01,1.1468677462331822,1.0202853589719618,1.3574396591123916,1.2600345849796746
1999-09-01,1.4314169929253495,1.2679899416831786,1.6346764046058393,1.4989607419813478
1999-10-01,1.40669344776998,1.1973729876925576,1.6111265025453347,1.4292020811852657
1999-11-01,1.4859492803289909,1.279980780267742,1.6835738024804314,1.504089581753254
1999-12-01,1.4395971317532563,1.2110473094498975,1.620632096088226,1.4159524055692652
2000-01-01,1.538671768242672,1.3034688231538638,1.7038826391128303,1.490283554954308
2000-02-01,1.7223703096165721,1.46859286455423,1.891548181506142,1.6598394054216925
2000-03-01,1.9008704920945085,1.5968408876361195,2.0660511698969763,1.7830912285595302
2000-04-01,1.70653581408029,1.3688091890601273,1.8793316735777443,1.5634959922639746
2000-05-01,1.7185265881391798,1.3612024175591042,1.8840594992092896,1.5474172939198505
2000-06-01,1.742112856248479,1.3156848716114,1.9144632088232694,1.509073139069761
2000-07-01,1.7919734804227927,1.4901670151663549,1.965926469200685,1.686805328451535
2000-08-01,1.8725727166562622,1.6546210256003002,2.0387267015586907,1.8433196434128662
2000-09-01,1.850020992185497,1.6338229078613598,2.009967137402846,1.81549700542456
2000-10-01,1.8184768059705814,1.6686232868580841,1.9768906812209552,1.8493226080981362
2000-11-01,1.9004781586838382,1.7263646187501536,2.059782466367799,1.9079172523807753
2000-12-01,1.8710878480466153,1.6401642796967097,2.047523135774032,1.8408175546894778
2001-01-01,2.0052216510106913,1.6766451341841293,2.198202490992185,1.8953279051799
2001-02-01,2.035879862930856,1.6951152363722022,2.2295175319571037,1.9144624598572024
2001-03-01,1.932464327861827,1.6437208815369253,2.134182992633016,1.872926080408921
2001-04-01,2.0276880603615766,1.792583675712467,2.223786187245236,2.015958580265953
2001-05-01,1.94251442494342,1.7077476299444339,2.154776145051618,1.9497740669917496
2001-06-01,2.092195735345248,1.939398694861838,2.2990872072681467,2.1761821305791296
2001-07-01,2.1221221221221276,1.876434383475889,2.323041382315294,2.1053634645255004
2001-08-01,2.0420948801002314,1.7852492317308233,2.2553473694942205,2.0282428957558274
2001-09-01,1.2167067803146026,1.6712367932006922,1.4371774738218157,1.9297971224423893
2001-10-01,1.7873267116375269,1.624370750947124,2.004751562075735,1.8730733948953526
2001-11-01,1.8146631142217151,1.7242719452793098,2.0232324811033653,1.9635179759856847
2001-12-01,1.738727405151308,1.7263708653870946,1.940494176762142,1.9586254018084226
2002-01-01,1.4182806480552923,1.4501362327449252,1.608810594950083,1.6699227065206435
2002-02-01,1.4328987225075585,1.4309471323046052,1.6238769661281793,1.6508896998139955
2002-03-01,1.4485126761304645,1.3673585002832445,1.6336174017364424,1.579721050750993
2002-04-01,1.5696834362275203,1.4473751863848916,1.747394867321428,1.6508026059514957
2002-05-01,1.6586121762882877,1.5415075661151079,1.8184560320103849,1.724397745517603
2002-06-01,1.5933331586257538,1.4368184733803524,1.7508008798011288,1.6165735598911324
