date,yoy_pct
2005-07-01,2.0045978790265595
2005-08-01,2.045366732670484
2005-09-01,2.111909843965698
2005-10-01,2.144891736995236
2005-11-01,2.2148006812898746
2005-12-01,2.2043177876838627
2006-01-01,2.1353464283164536
2006-02-01,2.074639436581127
2006-03-01,2.1410261104270356
2006-04-01,2.280210384518244
2006-05-01,2.34138029226143
2006-06-01,2.5031020703575324
2006-07-01,2.5170881371778364
2006-08-01,2.6565516295218528
2006-09-01,2.5751803719434196
2006-10-01,2.493078531703685
2006-11-01,2.2630309903280743
2006-12-01,2.2701074131684873
2007-01-01,2.4617703516495393
2007-02-01,2.535393800039243
2007-03-01,2.3239293185675747
2007-04-01,2.1998276683426132
2007-05-01,2.0616968240706246
2007-06-01,1.9820212238531365
2007-07-01,1.9760874890520475
2007-08-01,1.8794994547141952
2007-09-01,1.9653444795892927
2007-10-01,2.148788341250407
2007-11-01,2.321178047255934
2007-12-01,2.4632083007527728
2008-01-01,2.299086370528536
2008-02-01,2.207192182265305
2008-03-01,2.335547526863979
2008-04-01,2.352625790682006
2008-05-01,2.410339080271373
2008-06-01,2.481150071440763
2008-07-01,2.5875569667611176
2008-08-01,2.6603272959089486
2008-09-01,2.6423190640200156
2008-10-01,2.43912495727856
2008-11-01,2.2943099489329377
2008-12-01,2.071692461355301
2009-01-01,2.047838413952574
2009-02-01,2.1211113008820615
2009-03-01,2.154546249059819
2009-04-01,2.2465309612217377
2009-05-01,2.1516686641213534
2009-06-01,2.025353923497497
2009-07-01,1.8489800456981786
2009-08-01,1.821937296841658
2009-09-01,1.7512882177213918
2009-10-01,1.8381608166565533
2009-11-01,1.814217187545597
2009-12-01,1.8580979644104767
2010-01-01,1.6720856371780002
2010-02-01,1.5159049135234692
2010-03-01,1.3628148279204222
2010-04-01,1.1875967087176198
2010-05-01,1.2060001054909897
2010-06-01,1.1930356053858393
2010-07-01,1.1808642946032233
2010-08-01,1.0857392811227884
2010-09-01,0.9791195848408707
2010-10-01,0.7962591147856912
2010-11-01,0.8706059824100221
2010-12-01,0.8483838180317615
2011-01-01,0.9627761503670396
2011-02-01,1.1166747081594597
2011-03-01,1.1792235042674681
2011-04-01,1.3313792716392436
2011-05-01,1.4480843232025808
2011-06-01,1.5286347839283732
2011-07-01,1.6380805872860726
2011-08-01,1.7871880558983255
2011-09-01,1.8464818068219424
2011-10-01,1.9507418941376864
2011-11-01,1.9936170770877837
2011-12-01,2.173869234461745
2012-01-01,2.206508592623835
2012-02-01,2.1652179492689605
2012-03-01,2.1556536574116603
2012-04-01,2.09605291534507
2012-05-01,1.9995234189444933
2012-06-01,1.9676971520104614
2012-07-01,1.906590998991775
2012-08-01,1.7625817090498819
2012-09-01,1.7927069147124497
2012-10-01,1.7707253163360415
2012-11-01,1.6618694837118753
2012-12-01,1.5289978513008728
2013-01-01,1.5324511200960123
2013-02-01,1.4784618906463542
2013-03-01,1.3999798185921453
