Symbol,dbsym,sector,cik,yoy_price,yoy_eps
LLY,LLY,Health Care,59478,56.03700411013619,169.93464052287578
LIN,LIN,Materials,1707925,14.680900148906261,13.390313390313397
LMT,LMT,Industrials,936468,17.188003177397547,-11.538461538461537
L,L,Financials,60086,26.281009641425612,-6.321839080459776
LOW,LOW,Consumer Discretionary,60667,-0.581649610775814,-0.6849315068493157
LULU,LULU,Consumer Discretionary,1397187,-51.698959820518056,-35.0
LYB,LYB,Materials,1489393,-12.83077425677882,-29.629629629629633
MTB,MTB,Financials,36270,20.95696202531645,24.397590361445786
MAR,MAR,Consumer Discretionary,1048286,34.05479255051414,1.673640167364018
MLM,MLM,Materials,916076,7.502735278819084,1218.9473684210527
MRVL,MRVL,Information Technology,1835632,224.5129550672352,-80.0
MAS,MAS,Industrials,62996,23.326874347890868,20.689655172413797
MA,MA,Financials,1141391,-4.491606459838504,21.169916434540383
MKC,MKC,Consumer Staples,63754,-30.746810026556116,528.3333333333334
MCD,MCD,Consumer Discretionary,63908,-5.767097966728285,6.923076923076913
MRK,MRK,Health Care,310158,58.305830583058295,-185.57213930348257
META,META,Communication Services,1326801,-18.965709351235414,62.363919129082426
MET,MET,Financials,1099219,11.026147015293542,35.93749999999999
MTD,MTD,Health Care,1037646,8.667630105812197,6.658130601792579
MGM,MGM,Consumer Discretionary,789570,27.73861171366594,-5.8823529411764754
MU,MU,Information Technology,723125,705.3590656837571,756.0283687943263
MSFT,MSFT,Information Technology,789019,-20.569742598433205,23.410404624277444
MAA,MAA,Real Estate,912595,-4.545759752904055,-31.16883116883117
MDLZ,MDLZ,Consumer Staples,1103982,-11.718636693255991,41.935483870967744
MPWR,MPWR,Information Technology,1280452,72.84536497084252,39.5017793594306
MCO,MCO,Financials,1059556,-2.39557311623555,7.803468208092486
MS,MS,Financials,895421,51.65886856656743,31.923076923076927
MOS,MOS,Materials,1285785,-42.647458548518614,-208.0
MSI,MSI,Information Technology,68505,-0.6699419383653482,-13.833992094861646
MSCI,MSCI,Financials,1408198,3.752364574376621,49.05660377358491
NDAQ,NDAQ,Financials,1120193,-4.806070826306918,33.8235294117647
NFLX,NFLX,Communication Services,1065280,-40.00974319716055,86.36363636363636
NEM,NEM,Materials,1164727,64.96685364609893,78.57142857142858
NWSA,NWSA,Communication Services,1564708,-10.427177934746057,-11.111111111111107
NWS,NWS,Communication Services,1564708,-12.351060738157503,-11.111111111111107
NEE,NEE,Utilities,753308,20.900629619490818,160.0
NKE,NKE,Consumer Discretionary,320187,-39.94004224296518,-35.18518518518519
NI,NI,Utilities,1111711,19.281168101834535,6.000000000000005
NDSN,NDSN,Industrials,72331,31.739623497391722,6.091370558375629
NSC,NSC,Industrials,702165,22.887297111940864,-26.586102719033228
NTRS,NTRS,Financials,73124,37.96766382879011,42.631578947368425
NOC,NOC,Industrials,1133421,8.863248202724705,84.93975903614458
NRG,NRG,Utilities,1013871,-12.289481281878544,-85.59556786703601
NUE,NUE,Materials,73309,64.58768267223383,382.08955223880594
NVDA,NVDA,Information Technology,1045810,27.14686867367595,214.47368421052633
